
Date,Name,Year,Letterboxd URI,Rating
2022-07-27,Rachel Getting Married,2008,https://boxd.it/1N30,4
2022-07-28,Flower,2017,https://boxd.it/eTZA,2.5
2022-08-01,Purple Hearts,2022,https://boxd.it/sFiK,2
2022-08-03,The Gray Man,2022,https://boxd.it/rb7q,2
2022-08-09,The Age of Adaline,2015,https://boxd.it/9ghu,3
2022-08-15,St. Vincent,2014,https://boxd.it/73bE,2.5
2022-08-18,Forgetting Sarah Marshall,2008,https://boxd.it/1XEq,3.5
2022-08-26,Blade Runner 2049,2017,https://boxd.it/b8wK,5
2022-08-29,Mamma Mia!,2008,https://boxd.it/1Tnq,4
2022-09-17,Gone Girl,2014,https://boxd.it/6hQu,5
2022-09-29,Smiley Face,2007,https://boxd.it/1QG0,3.5
2022-10-16,American Beauty,1999,https://boxd.it/71Y,3.5
2022-11-05,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2022-11-16,Columbus,2017,https://boxd.it/eCuA,5
2022-11-17,Good Will Hunting,1997,https://boxd.it/2ahY,5
2022-11-22,Spiderhead,2022,https://boxd.it/mLsO,2.5
2022-11-28,Don't Worry Darling,2022,https://boxd.it/mViu,3
2022-11-28,Mr. & Mrs. Smith,2005,https://boxd.it/29CG,3
2022-12-03,Gravity,2013,https://boxd.it/GZY,5
2022-12-03,Life of Pi,2012,https://boxd.it/37pC,5
2022-12-04,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,3.5
2022-12-09,A Simple Favor,2018,https://boxd.it/hq92,3
2022-12-12,The Fallout,2021,https://boxd.it/tViI,2
2022-12-23,RRR,2022,https://boxd.it/ljDs,5
2022-12-25,Emily the Criminal,2022,https://boxd.it/wBOq,3.5
2022-12-26,It's a Wonderful Life,1946,https://boxd.it/28xA,4
2022-12-27,Dune,2021,https://boxd.it/fA7G,4
2022-12-28,Up in the Air,2009,https://boxd.it/1zPY,4
2022-12-29,No Country for Old Men,2007,https://boxd.it/21ew,4
2022-12-30,Call Me by Your Name,2017,https://boxd.it/dYmm,3
